,name,rating,reviews,type,hq,old,employees
53,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 262 more",127 years old,1 Lakh+ Employees (India)
54,Udaan,4.2,(4k Reviews),Private,"Bangalore,Karnataka + 295 more",6 years old,10k-50k Employees (India)
55,HDFC Life,4.1,(4k Reviews),Public,"Mumbai,Maharashtra + 392 more",22 years old,10k-50k Employees (India)
56,EXL Service,3.9,(5k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
57,Zydus Cadila,4.1,(5k Reviews),Public,"Ahmedabad, India + 134 more",70 years old,10k-50k Employees (India)
58,Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 101 more,10 years old,10k-50k Employees (India)
59,L&T Infotech,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
60,PwC,3.8,(3.7k Reviews),Partnership,London + 57 more,24 years old,5k-10k Employees (India)
61,Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 590 more",35 years old,10k-50k Employees (India)
62,Hindustan Unilev...,4.3,(5.8k Reviews),Public,"Mumbai,Maharashtra + 342 more",89 years old,10k-50k Employees (India)
63,UltraTech Cement,4.3,(3.9k Reviews),Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
64,Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 376 more",5 years old,10k-50k Employees (India)
65,ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 219 more",47 years old,10k-50k Employees (India)
66,Hewlett-Packard ...,4.3,(5k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
67,OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
68,Paytm,3.8,(4.3k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India)
69,Shapoorji Pallon...,4.3,(5.2k Reviews),Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
70,IIFL,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 446 more",27 years old,5k-10k Employees (India)
71,KPMG,3.8,(3.4k Reviews),Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
72,Mindtree,4.1,(3.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",23 years old,10k-50k Employees (India)
73,JP Morgan Chase,4.2,(3.3k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
74,Shriram Transpor...,4.2,(5.2k Reviews),Public,"Mumbai,Maharashtra + 643 more",43 years old,10k-50k Employees (India)
75,Ashok Leyland,4.1,(4k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
76,Mahindra & Mahin...,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 546 more",31 years old,10k-50k Employees (India)
77,Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,Mumbai + 140 more,39 years old,10k-50k Employees (India)
78,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
79,Aurobindo Pharma,4.1,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,1k-5k Employees (India)
80,Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 322 more",13 years old,5k-10k Employees (India)
81,Apollo Hospitals,4.1,(5.1k Reviews),Public,"San Francisco,California + 163 more",39 years old,50k-1 Lakh Employees (India)
82,Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
83,Fidelity Nationa...,4.1,(3.3k Reviews),Private,"Jacksonville,Florida + 32 more",17 years old,10k-50k Employees (India)
84,Wells Fargo Indi...,4.3,(3.1k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
85,Future Group,4.2,(10.1k Reviews),Private,"Mumbai,Maharashtra + 196 more",9 years old,50k-1 Lakh Employees (India)
86,Siemens,4.2,(3.2k Reviews),Public,"Munich,Bavaria + 103 more",30 years old,10k-50k Employees (India)
87,Nokia,4.4,(3.2k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
88,Bandhan Bank,3.9,(3.3k Reviews),Public,"Kolkata,West Bengal + 504 more",21 years old,10k-50k Employees (India)
89,eClerx,3.7,(3k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
90,Delhivery,4.2,(3k Reviews),Private,"Delhi,NCT + 437 more",11 years old,10k-50k Employees (India)
91,Max Life Insuran...,4.2,(3k Reviews),JV,"Gurgaon/Gurugram,Haryana + 272 more",22 years old,10k-50k Employees (India)
92,Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 38 more,22 years old,1 Lakh+ Employees (India),
93,TVS Motor,4.1,(3.1k Reviews),Public,"Chennai,Tamil Nadu + 231 more",43 years old,5k-10k Employees (India)
94,AU Small Finance...,4.1,(3.9k Reviews),Private,"Jaipur,Rajasthan + 281 more",26 years old,10k-50k Employees (India)
95,Cyient,3.7,(2.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
